index,Entity,Code,Year,cumulative_emissions_total,emissions_total,population,longitude,latitude
80,Switzerland,CHE,1950,473202080.0,10232846.0,4692642,7.44821,46.948
81,Tanzania,TZA,1950,498304.0,498304.0,7625152,35.7382,-6.17486
82,Thailand,THA,1950,1529836.0,955618.0,20428401,100.521,13.7308
83,Tonga,TON,1950,7328.0,7328.0,49679,-175.216,-21.136
84,Tunisia,TUN,1950,2650866.0,1219429.0,3608997,10.21,36.7899
85,Turkey,TUR,1950,183835620.0,9488155.0,21021142,32.3606,39.7153
86,Turkmenistan,TKM,1950,91834820.0,5660696.0,1269184,58.3794,37.9509
87,United Kingdom,GBR,1950,39811650000.0,500792130.0,50121020,-0.126236,51.5002
88,United States,USA,1950,91987830000.0,2541485300.0,154202683,-77.032,38.8895
105,Burkina Faso,BFA,1950,4053.0,4053.0,4213152,-1.53395,12.3605
106,Burundi,BDI,1950,8794.0,8794.0,2254942,29.3639,-3.3784
107,Cape Verde,CPV,1950,102592.0,102592.0,184986,-23.5087,14.9218
108,Chile,CHL,1950,289877100.0,9384277.0,6628577,-70.6475,-33.475
109,Colombia,COL,1950,87489860.0,7261834.0,11766991,-74.082,4.60987
110,Cote d'Ivoire,CIV,1950,551249.0,551249.0,2735187,-4.0305,5.332
111,Croatia,HRV,1950,45632708.0,2945888.0,3864992,15.9614,45.8069
112,Cuba,CUB,1950,112752650.0,5641091.0,5924519,-82.3667,23.1333
113,Curacao,CUW,1950,6164268.0,6164268.0,101781,,
114,Czechia,CZE,1950,2749550300.0,57853692.0,8916715,14.4205,50.0878
115,Denmark,DNK,1950,695544100.0,21987792.0,4268408,12.5681,55.6763
116,Egypt,EGY,1950,74691630.0,10233085.0,21148168,31.2461,30.0982
117,El Salvador,SLV,1950,371772.0,267854.0,2183513,-89.2073,13.7034
118,Estonia,EST,1950,110225496.0,6850540.0,1102046,24.7586,59.4392
119,France,FRA,1950,11884183000.0,202278640.0,41883122,2.35097,48.8566
120,Germany,DEU,1950,29190697000.0,510681820.0,69847778,13.4115,52.5235
121,Ghana,GHA,1950,637536.0,637536.0,5080664,-0.20795,5.57045
122,Guinea,GIN,1950,182399.0,182399.0,3013177,-13.7,9.51667
123,Guinea-Bissau,GNB,1950,7328.0,7328.0,543632,-15.1804,11.8037
124,Honduras,HND,1950,751227.0,301215.0,1558941,-87.4667,15.1333
125,Hungary,HUN,1950,773454140.0,18390042.0,9337883,19.0408,47.4984
126,Iceland,ISL,1950,5986785.0,740128.0,142684,-21.8952,64.1353
127,India,IND,1950,1998734300.0,61102560.0,346278818,77.225,28.6353
128,Jordan,JOR,1950,172208.0,172208.0,438808,35.9263,31.9497
129,Kuwait,KWT,1950,10988336.0,384720.0,153973,47.9824,29.3721
130,Kyrgyzstan,KGZ,1950,62256664.0,3873225.0,1751141,74.6057,42.8851
131,Latvia,LVA,1950,72741650.0,4526434.0,1918725,24.1048,56.9465
132,Liberia,LBR,1950,47632.0,47632.0,918912,-10.7957,6.30039
133,Libya,LBY,1950,142896.0,142896.0,1131471,13.1072,32.8578
134,Lithuania,LTU,1950,113211840.0,6997055.0,2433000,25.2799,54.6896
135,Luxembourg,LUX,1950,7633488.0,7419065.0,296580,6.1296,49.61
136,Madagascar,MDG,1950,336849.0,304082.0,3956077,45.7167,-20.4667
137,Malawi,MWI,1950,234550.0,234550.0,2950299,33.7703,-13.9899
138,Malaysia,MYS,1950,69079190.0,3655348.0,6098285,101.684,3.12433
139,Malta,MLT,1950,245488.0,245488.0,294685,14.5189,35.9042
140,Montenegro,MNE,1950,4157686.0,269033.0,402519,19.2595,42.4602
141,Mozambique,MOZ,1950,1965116.0,901137.0,5910234,32.5713,-25.9664
142,Myanmar,MMR,1950,46430210.0,802416.0,17737123,95.9562,21.914
143,Netherlands,NLD,1950,1875249900.0,51286268.0,10113759,4.89095,52.3738
144,New Zealand,NZL,1950,254453740.0,8569056.0,1911265,174.776,-41.2865
145,Nicaragua,NIC,1950,558898.0,190661.0,1331445,-86.2734,12.1475
146,North Korea,PRK,1950,157673920.0,780432.0,11116734,125.754,39.0319
147,Norway,NOR,1950,418199070.0,8432180.0,3265199,10.7387,59.9138
148,Panama,PAN,1950,1074607.0,710990.0,860855,-79.5188,8.99427
149,Portugal,PRT,1950,210392030.0,5618258.0,8418877,-9.13552,38.7072
150,Qatar,QAT,1950,611888.0,351744.0,24304,51.5082,25.2948
151,Romania,ROU,1950,717459140.0,19416586.0,16397275,26.0979,44.4479
152,Rwanda,RWA,1950,16854.0,16854.0,2157101,30.0587,-1.95325
153,Saint Vincent and the Grenadines,VCT,1950,3664.0,3664.0,61686,-61.2653,13.2035
154,Sint Maarten (Dutch part),SXM,1950,682524.0,682524.0,1472,,
155,Slovakia,SVK,1950,883413400.0,18519542.0,3465750,17.1073,48.1484
156,South Africa,ZAF,1950,1492941200.0,61031116.0,13038501,28.1871,-25.746
157,South Sudan,SSD,1950,44256.0,44256.0,2493286,31.6,4.85
158,Spain,ESP,1950,1166457500.0,33035424.0,28077048,-3.70327,40.4167
159,Sudan,SDN,1950,505343.97,505343.97,6189915,32.5363,15.5932
160,Suriname,SUR,1950,212512.0,212512.0,195575,-55.1679,5.8232
161,Sweden,SWE,1950,936691700.0,28655598.0,7016565,18.0645,59.3327
162,Syria,SYR,1950,951636.0,413762.0,3612085,36.3119,33.5146
163,Tajikistan,TJK,1950,35635470.0,2210297.0,1528311,68.7864,38.5878
164,Togo,TGO,1950,25648.0,25648.0,1399603,1.2255,6.1228
165,Trinidad and Tobago,TTO,1950,191909330.0,2352288.0,648778,-61.4789,10.6596
166,Uganda,UGA,1950,106256.0,106256.0,5750917,32.5729,0.314269
167,Ukraine,UKR,1950,2118323800.0,131685140.0,37310888,30.5038,50.4536
168,Uruguay,URY,1950,77844260.0,2508232.0,2234414,-56.0675,-34.8941
169,Uzbekistan,UZB,1950,279717300.0,17132388.0,6239906,69.269,41.3052
170,Yemen,YEM,1950,58624.0,58624.0,4616782,44.2075,15.352
171,Zambia,ZMB,1950,2330187.0,2330187.0,2321310,28.2937,-15.3982
0,Albania,ALB,1950,7463361.0,296725.0,1247854,19.8172,41.3317
1,Algeria,DZA,1950,11079969.0,3783605.0,9018423,3.05097,36.7397
2,Angola,AGO,1950,186864.0,186864.0,4551869,13.242,-8.81155
3,Argentina,ARG,1950,541877100.0,29921192.0,17018032,-58.4173,-34.6118
52,Mexico,MEX,1950,1327819000.0,30507610.0,27587941,-99.1276,19.427
53,Moldova,MDA,1950,112396220.0,6991535.0,2528365,28.8497,47.0167
54,Mongolia,MNG,1950,285792.0,285792.0,781691,106.937,47.9129
55,Morocco,MAR,1950,10821535.0,2559830.0,8935456,-6.8704,33.9905
56,Nepal,NPL,1950,25648.0,25648.0,8396610,85.3157,27.6939
57,New Caledonia,NCL,1950,219840.0,219840.0,63807,166.464,-22.2677
74,Sierra Leone,SLE,1950,157552.0,157552.0,1999628,-13.2134,8.4821
75,Singapore,SGP,1950,1913932.0,1913932.0,1013318,103.85,1.28941
76,Slovenia,SVN,1950,34803570.0,2249161.0,1446362,14.5044,46.0546
77,Somalia,SOM,1950,47632.0,47632.0,2213139,45.3254,2.07515
78,South Korea,KOR,1950,15946977.0,2183685.0,19757319,126.957,37.5323
79,Sri Lanka,LKA,1950,1626816.0,1626816.0,7811051,79.8528,6.92148
4,Azerbaijan,AZE,1950,144783140.0,8952894.0,3131979,49.8932,40.3834
21,Djibouti,DJI,1950,10992.0,10992.0,62349,43.1425,11.5806
